Module                  Size  Used by
fscrypto               28672  1 ext4
ahci                   40960  0
xhci_pci               16384  0
libahci                36864  1 ahci
xhci_hcd              225280  1 xhci_pci
rtsx_pci_sdmmc         28672  0
libata                241664  2 ahci,libahci
mmc_core              147456  1 rtsx_pci_sdmmc
atkbd                  28672  0
libps2                 16384  2 atkbd,psmouse
usbcore               249856  7 uvcvideo,usbhid,usb_storage,xhci_pci,btusb,uas,xhci_hcd
scsi_mod              225280  4 sd_mod,usb_storage,libata,uas
nvme                   36864  3
crc32c_intel           24576  3
nvme_core              61440  5 nvme
rtsx_pci               65536  2 rtsx_pci_sdmmc,rtsx_pci_ms
usb_common             16384  1 usbcore
i8042                  28672  1 dell_laptop
rtc_cmos               24576  1
serio                  24576  6 serio_raw,atkbd,psmouse,i8042
dm_mod                131072  6
dax                    24576  1 dm_mod
